id,speed
0,47.53252
1,47.65187
2,34.934437
3,28.20749
4,35.279095
5,26.031404
6,19.713242
7,48.933083
8,48.43569
9,31.923117
10,26.848331
11,21.274435
12,20.698055
13,18.959013
14,25.451075
15,40.33416
16,40.43279
17,43.475815
18,48.16161
19,48.734184
20,47.225197
21,44.838783
22,25.754679
23,31.476656
24,27.939423
25,19.62665
26,20.015285
27,18.842213
28,15.466297
29,15.37407
30,28.757494
31,44.812428
32,47.8017
33,26.763145
34,21.083305
35,20.298374
36,17.624157
37,17.037645
38,42.925472
39,40.561886
40,43.89334
41,47.413017
42,47.855656
43,43.995907
44,21.427368
45,18.810362
46,18.625751
47,15.457901
48,42.170654
49,47.7908
50,47.535175
51,17.857922
52,24.067055
53,21.316835
54,21.949543
55,20.324219
56,14.568837
57,13.197354
58,24.304283
59,37.089466
60,39.120995
61,41.932972
62,40.933666
63,41.724438
64,42.964935
65,47.377632
66,46.962105
67,45.70831
68,44.278847
69,29.150574
70,20.949045
71,18.247095
72,15.73766
73,16.971485
74,14.334303
75,8.796898
76,38.76706
77,36.07831
78,40.017956
79,47.005245
80,14.739377
81,16.246136
82,19.528917
83,16.158016
84,15.149148
85,13.483465
86,24.193218
87,38.76312
88,41.578773
89,38.220547
90,47.890354
91,47.433605
92,46.85613
93,45.91232
94,29.060543
95,16.975374
96,21.698814
97,12.868868
98,11.685432
99,23.899803
100,38.751377
101,47.776653
102,16.670198
103,16.605452
104,13.861872
105,42.40705
106,37.643063
107,48.18447
108,44.735504
109,17.023762
110,13.196184
111,11.933232
112,22.627577
113,38.435425
114,42.43828
115,48.952053
116,48.741516
117,43.544765
118,24.614857
119,23.048975
120,20.735584
121,16.52335
122,31.034193
123,48.02377
124,47.74122
125,42.924545
126,41.72253
127,36.819134
128,42.72114
129,36.953514
130,48.33878
131,47.363552
132,46.693214
133,27.20303
134,23.113884
135,23.654148
136,41.62214
137,46.17725
138,48.762875
139,47.555977
140,46.934746
141,44.63032
142,28.112352
143,15.243692
144,20.745146
145,18.413177
146,18.937235
147,48.121655
148,48.77377
149,47.89019
150,47.60459
151,16.199924
152,16.69534
153,15.389827
154,8.64174
155,22.084227
156,37.993855
157,43.727535
158,39.36597
159,44.289326
160,48.736717
161,49.34507
162,48.879295
163,47.868324
164,44.94292
165,28.634357
166,14.943315
167,18.997574
168,16.933462
169,17.57638
